pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,826.43
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,831.34
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,835.71
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,831.09
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,826.66
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,826.9
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,826.15
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,825.9
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,829.56
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,833.93
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,829.32
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,827.05
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,827.46
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,826.51
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,826.51
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,830.28
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,834.31
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,830.56
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,828.0
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,828.24
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,826.77
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,826.51
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,830.28
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,834.31
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,827.64
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,825.09
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,822.78
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,820.87
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,820.61
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,824.2
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,828.19
